Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Min,Bwd Packet Length Max,Bwd Packet Length Min,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Min,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Fwd PSH Flags,Bwd Packets/s,Min Packet Length,FIN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Down/Up Ratio,Init_Win_bytes_forward,Init_Win_bytes_backward,min_seg_size_forward,Active Mean,Active Std,Idle Std,Label_cleaned
3,2,12,6,0,0,4000000.0,666666.6667,3.0,3,3,0,0.0,0,0.0,6,0,0,0,1,0,0,33,-1,20,0.0,0.0,0.0,0
109,1,6,6,6,6,110091.7431,18348.62385,109.0,109,0,0,0.0,0,9174.311927,6,0,0,0,1,1,1,29,256,20,0.0,0.0,0.0,0
52,1,6,6,6,6,230769.2308,38461.53846,52.0,52,0,0,0.0,0,19230.76923,6,0,0,0,1,1,1,29,256,20,0.0,0.0,0.0,0
34,1,6,6,6,6,352941.1765,58823.52941,34.0,34,0,0,0.0,0,29411.76471,6,0,0,0,1,1,1,31,329,20,0.0,0.0,0.0,0
3,2,12,6,0,0,4000000.0,666666.6667,3.0,3,3,0,0.0,0,0.0,6,0,0,0,1,0,0,32,-1,20,0.0,0.0,0.0,0
1022,2,12,6,0,0,11741.68297,1956.947162,1022.0,1022,1022,0,0.0,0,0.0,6,0,0,0,1,0,0,32,-1,20,0.0,0.0,0.0,0
4,2,12,6,0,0,3000000.0,500000.0,4.0,4,4,0,0.0,0,0.0,6,0,0,0,1,0,0,32,-1,20,0.0,0.0,0.0,0
42,1,6,6,6,6,285714.2857,47619.04762,42.0,42,0,0,0.0,0,23809.52381,6,0,0,0,1,0,1,32,256,20,0.0,0.0,0.0,0
4,2,12,6,0,0,3000000.0,500000.0,4.0,4,4,0,0.0,0,0.0,6,0,0,0,1,0,0,32,-1,20,0.0,0.0,0.0,0
4,2,37,6,0,0,9250000.0,500000.0,4.0,4,4,0,0.0,1,0.0,6,0,0,0,1,0,0,946,-1,20,0.0,0.0,0.0,0
3,2,37,6,0,0,12300000.0,666666.6667,3.0,3,3,0,0.0,1,0.0,6,0,0,0,1,0,0,980,-1,20,0.0,0.0,0.0,0
1,2,37,6,0,0,37000000.0,2000000.0,1.0,1,1,0,0.0,1,0.0,6,0,0,0,1,0,0,980,-1,20,0.0,0.0,0.0,0
4,2,37,6,0,0,9250000.0,500000.0,4.0,4,4,0,0.0,1,0.0,6,0,0,0,1,0,0,980,-1,20,0.0,0.0,0.0,0
3,3,43,6,0,0,14300000.0,1000000.0,1.5,1,1,0,0.0,0,0.0,6,0,0,0,1,0,0,946,-1,20,0.0,0.0,0.0,0
54,1,0,0,0,0,0.0,37037.03704,54.0,54,0,0,0.0,0,18518.51852,0,0,0,0,1,1,1,939,1269,32,0.0,0.0,0.0,0
1,2,0,0,0,0,0.0,2000000.0,1.0,1,1,0,0.0,0,0.0,0,0,0,0,1,0,0,130,-1,32,0.0,0.0,0.0,0
154,1,0,0,0,0,0.0,12987.01299,154.0,154,0,0,0.0,0,6493.506494,0,0,0,0,1,0,1,130,65535,32,0.0,0.0,0.0,0
1,2,0,0,0,0,0.0,2000000.0,1.0,1,1,0,0.0,0,0.0,0,0,0,0,1,0,0,130,-1,32,0.0,0.0,0.0,0
