Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Min,Bwd Packet Length Max,Bwd Packet Length Min,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Min,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Fwd PSH Flags,Bwd Packets/s,Min Packet Length,FIN Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Down/Up Ratio,Init_Win_bytes_forward,Init_Win_bytes_backward,min_seg_size_forward,Active Mean,Active Std,Idle Std,Label_cleaned
23414,1,53,53,128,128,7730.417699,85.4189801,23414.0,23414,0,0,0.0,0,42.70949005,53,0,0,0,0,1,-1,-1,20,0.0,0.0,0.0,0
696891,3,26,0,10135,0,16692.71091,11.47955706,99555.85714,5,151,696825,174206.25,0,7.174723163,0,0,1,0,0,1,8192,229,20,0.0,0.0,0.0,1
23306,1,45,45,173,173,9353.814468,85.81481164,23306.0,23306,0,0,0.0,0,42.90740582,45,0,0,0,0,1,-1,-1,20,0.0,0.0,0.0,0
32055,3,26,0,5840,0,362907.5027,249.5710498,4579.285714,3,46,31999,7999.75,0,155.9819061,0,0,1,0,0,1,8192,229,20,0.0,0.0,0.0,1
865355,3,26,0,5840,0,13443.03783,10.40035592,108169.375,4,67,865199,173039.8,0,6.933570616,0,0,1,0,0,2,8192,229,20,0.0,0.0,0.0,1
71693,2,74,37,88,88,3487.09079,55.79345264,23897.66667,3,47,3,3.0,0,27.89672632,37,0,0,0,0,1,-1,-1,20,0.0,0.0,0.0,0
105,1,0,0,0,0,0.0,19047.61905,105.0,105,0,0,0.0,0,9523.809524,0,0,0,1,1,1,341,237,32,0.0,0.0,0.0,0
142438,45,1325,0,4344,0,772799.3934,716.1010405,1410.277228,1,48,119378,2131.75,0,400.1741108,0,0,1,0,0,1,29200,61,20,0.0,0.0,0.0,0
119881,20,1169,0,4344,0,397410.7657,383.7138496,2664.022222,1,1,96814,3872.56,0,216.8817411,0,0,1,0,0,1,29200,61,32,0.0,0.0,0.0,0
2214462,11,4013,0,1460,2,4804.778768,10.83784684,96280.95652,1,193,2117427,176452.25,0,5.870500374,0,0,1,0,0,1,8192,37960,20,0.0,0.0,0.0,0
10073762,4,24,6,0,0,2.382426744,0.397071124,3357920.667,3,3,0,0.0,0,0.0,6,0,0,1,0,0,256,-1,20,994.0,0.0,0.0,1
71409364,8,56,0,8760,0,163.2418964,0.168045188,6491760.364,3,3,838142,279380.6667,0,0.056015063,0,0,0,1,0,0,256,229,20,4033096.0,0.0,0.0,1
390,2,102,51,83,83,687179.4872,10256.41026,130.0,2,2,3,3.0,0,5128.205128,51,0,0,0,0,1,-1,-1,20,0.0,0.0,0.0,0
5421987,8,410,0,1590,0,683.8821266,2.397644996,451832.25,48,48,383232,95808.0,0,0.922171152,0,0,1,0,0,0,8192,123,20,0.0,0.0,0.0,0
71885657,8,56,0,11595,0,162.24377,0.166931771,6535059.727,14,98,1421930,473976.6667,0,0.055643924,0,0,0,1,0,0,256,229,20,3892731.0,0.0,0.0,1
1521801,3,26,0,7215,0,7644.232065,5.256929125,217400.1429,3,69,1521734,380433.5,0,3.285580703,0,0,1,0,0,1,8192,229,20,0.0,0.0,0.0,1
48371,4,280,70,152,152,12073.34973,124.0412644,9674.2,1,1,48,48.0,0,41.34708813,70,0,0,0,0,0,-1,-1,20,0.0,0.0,0.0,0
116228748,23,13003,0,1418,0,157.181423,0.395771277,2582861.067,1,1,111000000,5039225.591,0,0.197885638,0,0,1,0,0,1,29200,562,32,65289.08333,98235.42111,1351375.153,0
109665,1,41,41,143,143,1677.837049,18.23735923,109665.0,109665,0,0,0.0,0,9.118679615,41,0,0,0,0,1,-1,-1,32,0.0,0.0,0.0,0
142724,46,1319,0,4344,0,750917.8554,714.6660688,1413.108911,2,48,119513,2172.963636,0,392.3656848,0,0,1,0,0,1,29200,61,20,0.0,0.0,0.0,0
12129264,11,730,0,1432,0,437.2895173,1.896240365,551330.1818,1,1593,11900000,1086176.364,0,0.989342799,0,0,1,0,0,1,8192,66,20,6056153.0,0.0,0.0,0
21,1,0,0,0,0,0.0,95238.09524,21.0,21,0,0,0.0,0,47619.04762,0,0,0,1,1,1,142,299,32,0.0,0.0,0.0,0
72102699,8,56,0,4380,0,161.6721726,0.194167489,5546361.462,25,209,744727,148945.4,0,0.083214638,0,0,0,1,0,0,256,229,20,878.0,0.0,37700000.0,1
3,2,12,6,0,0,4000000.0,666666.6667,3.0,3,3,0,0.0,0,0.0,6,0,0,1,0,0,30016,-1,20,0.0,0.0,0.0,0
10013742,4,24,6,0,0,2.396706446,0.399451074,3337914.0,3,3,0,0.0,0,0.0,6,0,0,1,0,0,256,-1,20,998.0,0.0,0.0,1
142500,49,1325,0,4344,0,741880.7018,757.8947368,1331.775701,1,1,119306,2057.0,0,414.0350877,0,0,1,0,0,1,29200,61,20,0.0,0.0,0.0,0
71543796,9,62,0,11595,0,163.1028915,0.181706881,5961983.0,5,124,562741,187580.3333,0,0.055909809,0,0,0,1,0,0,256,229,20,3047920.0,0.0,0.0,1
1584959,4,24,6,0,0,15.14234753,2.523724588,528319.6667,3,3,0,0.0,0,0.0,6,0,0,1,0,0,256,-1,20,0.0,0.0,0.0,1
915747,3,26,0,7215,0,12703.29032,8.736037355,130821.0,4,228,915686,228921.5,0,5.460023347,0,0,1,0,0,1,8192,229,20,0.0,0.0,0.0,1
50845,4,124,31,124,124,7316.353624,118.0057036,10169.0,3,3,48,48.0,0,39.33523454,31,0,0,0,0,0,-1,-1,32,0.0,0.0,0.0,0
2060995,5,30,6,0,0,14.55607607,2.426012678,515248.75,1,1,0,0.0,0,0.0,6,0,0,1,0,0,256,-1,20,0.0,0.0,0.0,1
289,2,64,32,266,266,2062283.737,13840.83045,96.33333333,4,4,4,4.0,0,6920.415225,32,0,0,0,0,1,-1,-1,20,0.0,0.0,0.0,0
117009,3,26,0,11595,0,99419.70276,59.82445795,19501.5,4,4,116951,38983.66667,0,34.18540454,0,0,1,0,0,1,8192,229,20,0.0,0.0,0.0,1
699015,3,26,0,5840,0,16633.40558,11.44467572,99859.28571,32,302,698983,174745.75,0,7.152922326,0,0,1,0,0,1,8192,229,20,0.0,0.0,0.0,1
998704,3,26,0,5840,0,11642.08815,9.011679136,124838.0,14,334,998664,199732.8,0,6.007786091,0,0,1,0,0,2,8192,229,20,0.0,0.0,0.0,1
142298,45,1301,0,4344,0,742765.1829,702.7505657,1437.353535,1,1,119347,2210.12963,0,386.5128111,0,0,1,0,0,1,29200,61,20,0.0,0.0,0.0,0
321,2,60,30,132,132,1009345.794,12461.05919,107.0,2,4,2,2.0,0,6230.529595,30,0,0,0,0,1,-1,-1,20,0.0,0.0,0.0,0
209,2,94,47,63,63,1052631.579,19138.75598,69.66666667,49,49,49,49.0,0,9569.37799,47,0,0,0,0,1,-1,-1,20,0.0,0.0,0.0,0
714427,3,26,0,8760,0,16274.58089,9.798061943,119071.1667,49,255,714341,238113.6667,0,5.598892539,0,0,1,0,0,1,8192,229,20,0.0,0.0,0.0,1
146675,3,26,0,5755,0,79311.40276,61.36014999,18334.375,35,35,146601,29320.2,0,40.90676666,0,0,1,0,0,2,8192,229,20,0.0,0.0,0.0,1
920721,3,26,0,5840,0,12634.66349,9.774948111,115090.125,41,49,920642,184128.4,0,6.516632074,0,0,1,0,0,2,8192,229,20,0.0,0.0,0.0,1
23957,2,72,36,80,80,9684.017197,166.9658137,7985.666667,3,3,48,48.0,0,83.48290687,36,0,0,0,0,1,-1,-1,20,0.0,0.0,0.0,0
95487,3,26,0,5840,0,121828.1023,94.25366804,11935.875,3,66,95439,19087.8,0,62.83577869,0,0,1,0,0,2,8192,229,20,0.0,0.0,0.0,1
50575,1,48,48,88,88,2689.07563,39.54522986,50575.0,50575,0,0,0.0,0,19.77261493,48,0,0,0,0,1,-1,-1,32,0.0,0.0,0.0,0
36134,3,26,0,7300,0,321940.5546,221.3981292,5162.0,3,47,36089,9022.25,0,138.3738307,0,0,1,0,0,1,8192,229,20,0.0,0.0,0.0,1
72105189,8,56,0,5840,0,161.7498014,0.180292156,6008765.75,2,2,739581,184895.25,0,0.069343137,0,0,0,1,0,0,256,229,20,753.0,0.0,37700000.0,1
63593,4,164,41,73,73,4874.750366,94.35000708,12718.6,3,3,4,4.0,0,31.45000236,41,0,0,0,0,0,-1,-1,20,0.0,0.0,0.0,0
153205,69,1415,0,4344,0,1418478.509,1207.532391,832.6358696,0,3,129713,1127.93913,0,757.1554453,0,0,1,0,0,1,29200,61,20,0.0,0.0,0.0,0
